Timestamp,Value
01/08/2020 09:00:00,0.2
02/08/2020 09:00:00,0.0
03/08/2020 09:00:00,2.0
04/08/2020 09:00:00,15.8
05/08/2020 09:00:00,0.4
06/08/2020 09:00:00,0.0
07/08/2020 09:00:00,0.0
08/08/2020 09:00:00,0.0
09/08/2020 09:00:00,0.0
10/08/2020 09:00:00,1.6
11/08/2020 09:00:00,7.6
12/08/2020 09:00:00,0.0
13/08/2020 09:00:00,0.8
14/08/2020 09:00:00,0.0
15/08/2020 09:00:00,0.0
16/08/2020 09:00:00,0.2
17/08/2020 09:00:00,2.2
18/08/2020 09:00:00,0.0
19/08/2020 09:00:00,4.4
20/08/2020 09:00:00,1.4
21/08/2020 09:00:00,5.0
22/08/2020 09:00:00,0.0
23/08/2020 09:00:00,1.0
24/08/2020 09:00:00,3.2
25/08/2020 09:00:00,41.4
26/08/2020 09:00:00,1.8
27/08/2020 09:00:00,15.2
28/08/2020 09:00:00,0.0
29/08/2020 09:00:00,0.0
30/08/2020 09:00:00,0.0
31/08/2020 09:00:00,0.0
01/09/2020 09:00:00,0.0
02/09/2020 09:00:00,8.4
03/09/2020 09:00:00,0.2
04/09/2020 09:00:00,1.2
05/09/2020 09:00:00,0.0
06/09/2020 09:00:00,3.0
07/09/2020 09:00:00,0.0
08/09/2020 09:00:00,2.0
09/09/2020 09:00:00,0.0
10/09/2020 09:00:00,0.0
11/09/2020 09:00:00,0.4
12/09/2020 09:00:00,2.2
13/09/2020 09:00:00,0.0
14/09/2020 09:00:00,0.0
15/09/2020 09:00:00,0.2
16/09/2020 09:00:00,0.0
17/09/2020 09:00:00,0.0
18/09/2020 09:00:00,0.2
19/09/2020 09:00:00,0.6
20/09/2020 09:00:00,0.2
21/09/2020 09:00:00,0.0
22/09/2020 09:00:00,0.6
23/09/2020 09:00:00,0.0
24/09/2020 09:00:00,0.0
25/09/2020 09:00:00,0.0
26/09/2020 09:00:00,0.2
27/09/2020 09:00:00,0.0
28/09/2020 09:00:00,0.0
29/09/2020 09:00:00,3.8
30/09/2020 09:00:00,18.2
01/10/2020 09:00:00,1.2
02/10/2020 09:00:00,6.4
03/10/2020 09:00:00,65.8
04/10/2020 09:00:00,8.4
05/10/2020 09:00:00,3.2
06/10/2020 09:00:00,0.0
07/10/2020 09:00:00,0.0
08/10/2020 09:00:00,0.0
09/10/2020 09:00:00,1.0
10/10/2020 09:00:00,0.4
11/10/2020 09:00:00,3.6
12/10/2020 09:00:00,4.6
13/10/2020 09:00:00,7.2
14/10/2020 09:00:00,0.0
15/10/2020 09:00:00,0.0
16/10/2020 09:00:00,0.0
17/10/2020 09:00:00,0.0
18/10/2020 09:00:00,1.8
19/10/2020 09:00:00,11.0
20/10/2020 09:00:00,1.2
21/10/2020 09:00:00,6.4
22/10/2020 09:00:00,3.4
23/10/2020 09:00:00,3.2
24/10/2020 09:00:00,0.6
25/10/2020 09:00:00,0.2
26/10/2020 09:00:00,3.6
27/10/2020 09:00:00,5.2
28/10/2020 09:00:00,0.0
29/10/2020 09:00:00,4.4
30/10/2020 09:00:00,7.2
31/10/2020 09:00:00,8.8
01/11/2020 09:00:00,3.8
02/11/2020 09:00:00,3.4
03/11/2020 09:00:00,0.2
04/11/2020 09:00:00,0.0
05/11/2020 09:00:00,0.0
06/11/2020 09:00:00,0.2
07/11/2020 09:00:00,0.0
08/11/2020 09:00:00,9.8
09/11/2020 09:00:00,0.0
10/11/2020 09:00:00,2.8
11/11/2020 09:00:00,10.6
12/11/2020 09:00:00,1.8
13/11/2020 09:00:00,0.2
14/11/2020 09:00:00,3.4
15/11/2020 09:00:00,2.4
16/11/2020 09:00:00,0.8
17/11/2020 09:00:00,0.0
18/11/2020 09:00:00,0.8
19/11/2020 09:00:00,0.0
20/11/2020 09:00:00,1.8
21/11/2020 09:00:00,0.0
22/11/2020 09:00:00,0.0
